Nombre,Categoria,Popularidad,Calificacion,Eps,PendienteTemporada,Emotional,Plataforma
Full Metal Panic!,CLASICOS,526,7.74,61,-,-,X
Fullmetal Alchemist,CLASICOS,1539,8.11,51,-,X,X
Gankutsuou,CLASICOS,266,8.11,24,-,-,X - Crunchyroll Solo Sub Ingles
Gantz,CLASICOS,380,7.03,29,-,-,X
Ghost in the Shell SAC,CLASICOS,421,8.45,55,-,-,X
Gungrave,CLASICOS,215,7.81,26,-,X,X - Crunchyroll Solo Sub Ingles
Haibane Renmei,CLASICOS,330,7.99,13,-,X,X
Hellsing,CLASICOS,777,7.50,13,-,-,Crunchyroll
His and Her Circumstances,CLASICOS,252,7.59,26,-,-,X
Hunter x Hunter 1999,CLASICOS,642,8.37,92,-,-,X
Initial D,CLASICOS,434,8.32,83,-,-,X
Legend of the Galactic Heroes,CLASICOS,357,9.02,110,-,X,X
Los Caballeros del Zodiaco,CLASICOS,201,7.78,148,-,-,X - Crunchyroll Solo Latino Original
Mobile Suit Gundam Wing,CLASICOS,169,7.67,52,-,-,Crunchyroll
Now and Then Here and There,CLASICOS,157,7.57,13,-,X,X
One Piece Arc 1 East Blue,CLASICOS,188,8.73,61,-,X,Netflix Crunchyroll
Outlaw Star,CLASICOS,170,7.84,26,-,-,X
Planetes,CLASICOS,274,8.24,26,-,-,Crunchyroll
Record of Lodoss War,CLASICOS,39,7.11,27,-,-,Crunchyroll
Rurouni Kenshin 1996,CLASICOS,522,8.26,104,-,X,X
Samurai Champloo,CLASICOS,1326,8.52,26,-,-,X - Crunchyroll Solo Sub Ingles
School Rumble,CLASICOS,343,7.90,54,-,-,X
Serial Experiments Lain,CLASICOS,872,8.10,13,-,-,X
Shaman King 2001,CLASICOS,381,7.73,64,-,-,X - Prime Solo Latino Original
Slam Dunk,CLASICOS,334,8.56,116,-,-,Netflix
Slayers,CLASICOS,153,7.71,104,-,-,X
Soul Hunter,CLASICOS,18,7.05,23,-,-,X
Texhnolyze,CLASICOS,287,7.76,20,-,-,X
The Twelve Kingdoms,CLASICOS,171,8.01,45,-,-,X
The Vision of Escaflowne,CLASICOS,173,7.65,26,-,X,X
Trigun 1998,CLASICOS,817,8.22,26,-,-,Crunchyroll Sub Normal Descargar Si Latino
Wolf's Rain,CLASICOS,351,7.82,26,-,X,Crunchyroll TV Descargar OVA
You're Under Arrest,CLASICOS,43,7.58,100,-,-,X
Yu Yu Hakusho,CLASICOS,740,8.46,112,-,-,X - Crunchyroll Solo Sub Ingles
